model,condition,accuracy,mean_confidence,brier_score,log_score,overconfidence,n_valid,trial
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,157
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,158
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,159
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,160
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,161
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,162
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,163
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,164
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,165
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,166
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,167
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,168
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,169
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,170
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,171
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,172
mistralai/Mistral-7B-Instruct-v0.2,C0,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,173
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,174
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,175
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,176
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,177
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,178
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,179
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,180
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,181
mistralai/Mistral-7B-Instruct-v0.2,C0,0.7,1.0,0.3,2.073026933928149,0.30000000000000004,10,182
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,183
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,184
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,185
mistralai/Mistral-7B-Instruct-v0.2,C0,0.9,1.0,0.1,0.6916759781984387,0.09999999999999998,10,186
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,187
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,188
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,189
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,190
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,191
mistralai/Mistral-7B-Instruct-v0.2,C0,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,192
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,193
mistralai/Mistral-7B-Instruct-v0.2,C0,0.3,1.0,0.7,4.83572884538757,0.7,10,194
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,195
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,196
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,197
mistralai/Mistral-7B-Instruct-v0.2,C0,0.6,1.0,0.4,2.7637024117930045,0.4,10,198
mistralai/Mistral-7B-Instruct-v0.2,C0,0.4,1.0,0.6,4.145053367522715,0.6,10,199
mistralai/Mistral-7B-Instruct-v0.2,C0,0.5,1.0,0.5,3.4543778896578594,0.5,10,200
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,301
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,302
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,303
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,304
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,305
mistralai/Mistral-7B-Instruct-v0.2,C1,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,306
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,307
mistralai/Mistral-7B-Instruct-v0.2,C1,0.6,1.0,0.4,2.7637024117930045,0.4,10,308
mistralai/Mistral-7B-Instruct-v0.2,C1,0.5,1.0,0.5,3.4543778896578594,0.5,10,309
mistralai/Mistral-7B-Instruct-v0.2,C1,0.3,1.0,0.7,4.83572884538757,0.7,10,310
mistralai/Mistral-7B-Instruct-v0.2,C1,0.4,1.0,0.6,4.145053367522715,0.6,10,311
mistralai/Mistral-7B-Instruct-v0.2,C1,0.8,1.0,0.2,1.3823514560632941,0.19999999999999996,10,312
