Condition,Name,N_Trials,Mean_Adherence,Std_Adherence,Mean_Brier,Mean_Accuracy,Overconfidence
C0,None,596,1.0,0.0,0.40029016666666667,0.5926666666666667,0.40123
C1,Sham,594,0.7811447811447811,0.17408956080333948,0.4459709,0.5464444444444445,0.44574481481481487
C2,Consistent,595,0.6115406162464986,0.19367417897383965,0.448491112037037,0.5387222222222221,0.44574694444444446
C3,Contradictory,588,0.6923469387755101,0.13299221769674563,0.44743079259259255,0.5421481481481482,0.4482214814814815
C4,Override,594,0.342368125701459,0.07109204584421396,0.5167593333333333,0.47533333333333333,0.5193666666666666
C5,Persistence,598,0.8416945373467112,0.08975403847284324,0.42024045555555556,0.5728888888888889,0.4193788888888888
